bin_order,00000356_000_ReR8_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,00000390_001_ReR5_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,00000716_001_ReR3_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,00001437_008_ReR8_thickened_thickened_trimmed_rot90cw_crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
49,1064.6496628243258,254.36470532016355,161.61214577254444,532.672244408124
50,1608.585167033445,357.0155728690172,432.1709139757925,1574.514386660319
51,745.8824499768741,488.2490988389861,367.51767068056193,1593.2314420384157
52,951.6893909811378,145.21953414005418,519.0980177737691,493.5088397609944
53,1068.801665417864,363.07161827936926,389.1927543004879,1674.1690916569753
54,771.0547639604374,471.5584082353334,118.44714185605292,1314.2252568913511
55,1200.1130005404552,264.7441318027881,127.49263052597,70.38754222530267
56,825.4031657026787,585.9637377252044,493.29998068314666,629.5087312445662
57,1497.5584408807497,512.0333514681173,437.954034287028,1013.160108762894
58,1511.664320978431,298.9570632215959,812.587151892062,944.9072112652844
59,823.0063894364948,797.1168508655111,436.2663793371949,100.98358492373924
60,1286.6746107003926,641.9466968490457,621.7099914859165,1244.01125887063
61,1373.8953651559702,130.80619401925415,326.4724848528325,1468.5874489049977
62,764.4630725982888,667.0165410270256,926.2254533318568,484.3568557210808
63,970.5109832485336,761.8452326162776,878.4523968177028,844.7783913830125
64,505.23529930757394,591.7674689974657,1486.801562871448,1208.878003053537
65,779.2107011384834,352.04112693460405,1065.4427624360146,184.903417271803
66,804.7962475061622,548.3037479353937,1470.2948683852503,1455.1367464692637
67,875.0589648968929,981.7670256286232,458.7577940237466,866.606081716124
68,2633.1023866078335,535.3470733804857,828.5439089283501,1124.3372141968027
69,2345.738272801342,216.6697656242259,472.3027278246769,653.058914868155
70,2214.816600893145,955.0109304945026,1298.8030647063758,706.0021382043982
71,1560.0366511317727,536.5184645080312,764.2684645649396,509.5460101593628
72,3688.410900738437,765.7131390203951,1771.1759836103226,1374.912899850135
73,3442.702420650008,555.6509606557452,484.0394870352091,1100.5195701824198
74,3658.052004631107,603.6260569043039,1738.7806066080825,1590.9185095833548
75,1808.5216195280088,1226.534049366407,2457.438631173795,1429.51827469007
76,1828.709361915935,724.7991676535495,1579.384907471112,1392.2648075706993
77,3462.989060098257,4731.83682703897,6609.413660496537,2285.1490674924908
78,,,,2215.3944400046607
